Datum;Heimspiel;;;
17.08.2013;1;;;
31.08.2013;1;;;
07.09.2013;1;;;
21.09.2013;1;;;
28.09.2013;1;;;
19.10.2013;1;;;
02.11.2013;1;;;
23.11.2013;1;;;
07.12.2013;1;;;
21.12.2013;1;;;
25.01.2014;1;;;
08.02.2014;1;;;
22.02.2014;1;;;
08.03.2014;1;;;
26.03.2014;1;;;
05.04.2014;1;;;
19.04.2014;1;;;
03.05.2014;1;;;
26.07.2014;1;;;
06.08.2014;1;;;
17.08.2014;1;;;
23.08.2014;1;;;
30.08.2014;1;;;
20.09.2014;1;;;
27.09.2014;1;;;
18.10.2014;1;;;
01.11.2014;1;;;
22.11.2014;1;;;
13.12.2014;1;;;
31.01.2015;1;;;
14.02.2015;1;;;
27.02.2015;1;;;
07.03.2015;1;;;
21.03.2015;1;;;
25.03.2015;1;;;
11.04.2015;1;;;
25.04.2015;1;;;
09.05.2015;1;;;
23.05.2015;1;;;
29.05.2015;1;;;
25.07.2015;1;;;
08.08.2015;1;;;
15.08.2015;1;;;
25.08.2015;1;;;
05.09.2015;1;;;
19.09.2015;1;;;
02.10.2015;1;;;
24.10.2015;1;;;
07.11.2015;1;;;
28.11.2015;1;;;
18.12.2015;1;;;
30.01.2016;1;;;
13.02.2016;1;;;
27.02.2016;1;;;
05.03.2016;1;;;
12.03.2016;1;;;
02.04.2016;1;;;
16.04.2016;1;;;
30.04.2016;1;;;
14.05.2016;1;;;
30.07.2016;1;;;
09.08.2016;1;;;
27.08.2016;1;;;
16.09.2016;1;;;
24.09.2016;1;;;
15.10.2016;1;;;
05.11.2016;1;;;
26.11.2016;1;;;
10.12.2016;1;;;
04.02.2017;1;;;
18.02.2017;1;;;
04.03.2017;1;;;
14.03.2017;1;;;
25.03.2017;1;;;
05.04.2017;1;;;
09.04.2017;1;;;
22.04.2017;1;;;
06.05.2017;1;;;
20.05.2017;1;;;
30.07.2017;1;;;
11.08.2017;1;;;
20.08.2017;1;;;
09.09.2017;1;;;
19.09.2017;1;;;
30.09.2017;1;;;
21.10.2017;1;;;
05.11.2017;1;;;
25.11.2017;1;;;
02.12.2017;1;;;
23.01.2018;1;;;
03.02.2018;1;;;
17.02.2018;1;;;
03.03.2018;1;;;
16.03.2018;1;;;
07.04.2018;1;;;
23.04.2018;1;;;
13.05.2018;1;;;
21.05.2018;1;;;
